Date,close,kaipan,max,min,final
12/22/2013,30,29,29.9,29,30
12/23/2013,29.9,29.8,29.8,29.8,29.9
12/24/2013,29.8,29.8,29.8,29.8,29.8
12/25/2013,29.8,29.8,29.8,29.8,29.8
12/26/2013,29.8,29.8,29.8,29.8,29.8
12/27/2013,29.7,29.7,29.7,29.7,29.7
12/28/2013,29.7,29.7,29.7,29.7,29.7
12/29/2013,29.7,29.7,29.7,29.7,29.7
12/30/2013,29.7,29.7,29.7,29.7,29.7
12/31/2013,29.8,29.8,29.8,29.8,29.8
1/1/2014,29.7,29.7,29.7,29.7,29.7
1/2/2014,29.7,29.7,29.7,29.7,29.7
1/3/2014,29.8,29.8,29.8,29.8,29.8
1/4/2014,29.8,29.8,29.8,29.8,29.8
1/5/2014,29.8,29.8,29.8,29.8,29.8
1/6/2014,29.7,29.7,29.7,29.7,29.7
1/7/2014,29.6,29.6,29.6,29.6,29.6
1/8/2014,29.8,29.5,29.8,29.5,29.66
1/9/2014,29.7,29.7,29.7,29.7,29.7
1/10/2014,29.9,29.7,29.9,29.7,29.8
1/11/2014,29.9,29.7,29.9,29.7,29.8
1/12/2014,29.9,29.7,29.9,29.7,29.8
1/13/2014,29.72,29.6,29.8,29.6,29.72
1/14/2014,29.9,29.8,29.9,29.8,29.83
1/15/2014,29.9,29.9,29.9,29.9,29.9
1/16/2014,29.9,29.9,29.9,29.9,29.9
1/17/2014,32.5,30,32.5,30,31.6
1/18/2014,32.5,30,32.5,30,31.6
1/19/2014,32.5,30,32.5,30,31.6
1/20/2014,32,31,32,31,31.5
1/21/2014,32.5,32.5,32.5,32.5,32.5
1/22/2014,32.5,32.5,32.5,32.5,32.5
1/23/2014,32,32,32,32,32
1/24/2014,33,33,33,33,33
1/25/2014,33,33,33,33,33
1/26/2014,33,33,33,33,33
1/27/2014,33,33,33,33,33
1/28/2014,33,33,33,33,33
1/29/2014,33,33,33,33,33
1/30/2014,33,33,33,33,33
1/31/2014,33,33,33,33,33
2/1/2014,33,33,33,33,33
2/2/2014,33,33,33,33,33
2/3/2014,33,33,33,33,33
2/4/2014,33,33,33,33,33
2/5/2014,33,33,33,33,33
2/6/2014,33,33,33,33,33
2/7/2014,33.5,33.5,33.5,33.5,33.5
2/8/2014,33.5,33.5,33.5,33.5,33.5
2/9/2014,33.5,33.5,33.5,33.5,33.5
2/10/2014,34.5,34.5,34.5,34.5,34.5
2/11/2014,34.5,34.5,34.5,34.5,34.5
2/12/2014,35,35,35,35,35
2/13/2014,35.1,34.5,37,34.5,35.1
2/14/2014,35.5,35.5,35.5,35.5,35.5
2/15/2014,35.5,35.5,35.5,35.5,35.5
2/16/2014,35.5,35.5,35.5,35.5,35.5
2/17/2014,37,35.7,37,35.7,37
2/18/2014,38,37.5,38,37.5,37.6
2/19/2014,42.4,38.3,43,38.3,40.2
2/20/2014,43.8,40,40,40,42.5
2/21/2014,44.9,44.2,46,44.2,45.4
2/22/2014,44.9,44.2,46,44.2,45.4
2/23/2014,44.9,44.2,46,44.2,45.4
2/24/2014,40.3,40,41,40,40.3
2/25/2014,37.5,37.5,40,37.5,37.5
2/26/2014,40,40,40,40,40
2/27/2014,40,40,40,40,40
2/28/2014,40.8,40.8,40.8,40.8,40.8
3/1/2014,40.8,40.8,40.8,40.8,40.8
3/2/2014,40.8,40.8,40.8,40.8,40.8
3/3/2014,37.1,37,37.1,37,37.1
3/4/2014,37.1,37,37.1,37,37.1
3/5/2014,40.1,40,40.5,40,40.08
3/6/2014,40.3,40,40.5,40,40.25
3/7/2014,40.3,40,40.5,40,40.25
3/8/2014,40.3,40,40.5,40,40.25
3/9/2014,40.3,40,40.5,40,40.25
3/10/2014,39.5,39.5,39.5,39.5,39.5
3/11/2014,39.7,39.6,41,39.6,39.73
3/12/2014,39.8,39.6,40,39.6,39.8
3/13/2014,40,40,40,40,40
3/14/2014,40,40,40,40,40
3/15/2014,40,40,40,40,40
3/16/2014,40,40,40,40,40
3/17/2014,40,40,40,40,40
3/18/2014,39,39,39,39,39
3/19/2014,39.8,39.6,40,39.6,39.8
3/20/2014,40,39.8,40,39.8,39.82
3/21/2014,40.4,40.8,41,40.8,40.41
3/22/2014,40.4,40.8,41,40.8,40.41
3/23/2014,40.4,40.8,41,40.8,40.41
3/24/2014,40.5,40.5,40.5,40.5,40.5
3/25/2014,40,40,40,40,40
3/26/2014,40,40,40,40,40
3/27/2014,40.1,40,40.2,40,40.07
3/28/2014,40,40,40,40,40
3/29/2014,40,40,40,40,40
3/30/2014,40,40,40,40,40
3/31/2014,40,40,40,40,40
4/1/2014,39.5,39.5,39.5,39.5,39.5
4/2/2014,38.5,38,39,38,38.5
4/3/2014,39.2,39,39.5,39,39.16
4/4/2014,39.4,39,39.5,39,39.37
4/5/2014,39.4,39,39.5,39,39.37
4/6/2014,39.4,39,39.5,39,39.37
4/7/2014,39.4,39,39.5,39,39.37
4/8/2014,39.3,39.5,39.5,39.5,39.33
4/9/2014,38.9,38.6,39,38.6,38.9
4/10/2014,39,39,39,39,38.95
4/11/2014,39,39,39,39,38.95
4/12/2014,39,39,39,39,38.95
4/13/2014,39,39,39,39,38.95
4/14/2014,39.2,39.2,39.2,39.2,39.2
4/15/2014,40.1,40.2,40.2,40.2,40.05
4/16/2014,39.8,40.2,40.2,40.2,39.8
4/17/2014,39.8,40.2,40.2,40.2,39.8
4/18/2014,36,36,36,36,36
4/19/2014,36,36,36,36,36
4/20/2014,36,36,36,36,36
4/21/2014,38,38,38,38,38
4/22/2014,39,39,39,39,39
4/23/2014,39.5,39.5,39.5,39.5,39.5
4/24/2014,39.5,39.5,39.5,39.5,39.5
4/25/2014,39.5,39.5,39.5,39.5,39.45
4/26/2014,39.5,39.5,39.5,39.5,39.45
4/27/2014,39.5,39.5,39.5,39.5,39.45
4/28/2014,39.4,39.4,39.4,39.4,39.4
4/29/2014,39.6,39.5,39.8,39.5,39.62
4/30/2014,39.1,39.5,39.5,39.5,39.06
5/1/2014,39.1,39.5,39.5,39.5,39.06
5/2/2014,39.1,39.5,39.5,39.5,39.06
5/3/2014,39.1,39.5,39.5,39.5,39.06
5/4/2014,39.1,39.5,39.5,39.5,39.06
5/5/2014,39.1,39.5,39.5,39.5,39.06
5/6/2014,38.8,38.8,38.8,38.8,38.8
5/7/2014,38.8,38.8,38.8,38.8,38.8
5/8/2014,39,39,39,39,39
5/9/2014,39,39,39,39,39
5/10/2014,39,39,39,39,39
5/11/2014,39,39,39,39,39
5/12/2014,38.9,39,39,39,38.9
5/13/2014,38.9,38.9,38.9,38.9,38.86
5/14/2014,39.8,39.8,39.8,39.8,39.75
5/15/2014,39.8,39.8,39.8,39.8,39.75
5/16/2014,39.2,39.2,39.2,39.2,39.2
5/17/2014,39.2,39.2,39.2,39.2,39.2
5/18/2014,39.2,39.2,39.2,39.2,39.2
5/19/2014,39.4,39.3,39.5,39.3,39.38
5/20/2014,39.5,39.5,39.5,39.5,39.5
5/21/2014,39.5,39.5,39.5,39.5,39.5
5/22/2014,35,38.5,38.9,38.5,38.17
5/23/2014,39.5,38.5,39.5,38.5,38.54
5/24/2014,39.5,38.5,39.5,38.5,38.54
5/25/2014,39.5,38.5,39.5,38.5,38.54
5/26/2014,38.1,38,38,38,38.08
5/27/2014,38.1,38,38,38,38.08
5/28/2014,38.9,38.8,39,38.8,38.88
5/29/2014,38.5,38.5,38.5,38.5,38.5
5/30/2014,38.5,38.5,38.6,38.5,38.51
5/31/2014,38.51,38.5,38.6,38.5,38.51
6/1/2014,38.51,38.5,38.6,38.5,38.51
6/2/2014,38.51,38.5,38.6,38.5,38.51
6/3/2014,38.5,38.5,38.5,38.5,38.5
6/4/2014,28,28,28,28,28
6/5/2014,39.5,39.5,39.5,39.5,39.5
6/6/2014,39.6,39.5,39.7,39.5,39.64
6/7/2014,39.64,39.5,39.7,39.5,39.64
6/8/2014,39.64,39.5,39.7,39.5,39.64
6/9/2014,40,40,40,40,40
6/10/2014,40,40,40,40,40
6/11/2014,40,40,40,40,40
6/12/2014,40,40,40.1,40,40
6/13/2014,40.1,40,40.5,40,40.14
6/14/2014,40.1,40,40.5,40,40.14
6/15/2014,40.1,40,40.5,40,40.14
6/16/2014,40.5,40.3,41,40.3,40.6
6/17/2014,41,41,42,41,41
6/18/2014,41,41,43,41,41
6/19/2014,42.8,41,43,41,42.8
6/20/2014,43,43,44,43,43.03
6/21/2014,43,43,44,43,43.03
6/22/2014,43,43,44,43,43.03
6/23/2014,41,39.3,42,39.3,40.85
6/24/2014,39.6,41,41,41,39.72
6/25/2014,39.1,40,40,40,39.1
6/26/2014,38.9,39.5,39.5,39.5,39.1
6/27/2014,39,40,40,40,39.41
6/28/2014,39,40,40,40,38.5
6/29/2014,39,40,40,40,38.5
6/30/2014,48,48,48,48,48
7/1/2014,48,48,48,48,48
7/2/2014,48,48,48,48,48
7/3/2014,48,48,48,48,48
7/4/2014,48,48,48,48,48
7/5/2014,48,48,48,48,48
7/6/2014,48,48,48,48,48
7/7/2014,48,48,48,48,48
7/8/2014,48,48,48,48,48
7/9/2014,48,48,48,48,48
7/10/2014,48,48,48,48,48
7/11/2014,48,48,48,48,48
7/12/2014,48,48,48,48,48
7/13/2014,48,48,48,48,48
7/14/2014,48,48,48,48,48
7/15/2014,48,48,48,48,48
7/16/2014,48,48,48,48,48
7/17/2014,48,48,48,48,48
7/18/2014,48,48,48,48,48
7/19/2014,48,48,48,48,48
7/20/2014,48,48,48,48,48
7/21/2014,48,48,48,48,48
7/22/2014,48,48,48,48,48
7/23/2014,48,48,48,48,48
7/24/2014,48,48,48,48,48
7/25/2014,48,48,48,48,48
7/26/2014,48,48,48,48,48
7/27/2014,48,48,48,48,48
7/28/2014,48,48,48,48,48
7/29/2014,48,48,48,48,48
7/30/2014,48,48,48,48,48
7/31/2014,48,48,48,48,48
8/1/2014,48,48,48,48,48
8/2/2014,48,48,48,48,48
